Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Priority,Story Points,Components
Epic,EPIC-M1 双入口主链路稳定化,"目标: IME 外部输入 + App 内部主脑稳定可用; 验收: No Mis-send, 自动拉起 App, 结果回流",EPIC-M1 双入口主链路稳定化,,"android,ime,app",Highest,,platform
Story,IME Agent Mode 云端判定与自动拉起 App,"实现 local/cloud 路由与 deep link 跳转; 复杂任务自动进入 App 模块页面",,EPIC-M1 双入口主链路稳定化,"ime,handoff",Highest,5,ime-frontend
Story,IME 候选回流不自动提交,"回流草稿仅展示在候选区; 仅用户点击才 commit 到宿主输入框",,EPIC-M1 双入口主链路稳定化,"ime,no-mis-send",Highest,3,ime-frontend
Story,IME 与 App Binder 重连恢复,"服务被系统回收后 3 秒内重连; pending request 可恢复查询",,EPIC-M1 双入口主链路稳定化,"binder,reliability",High,5,ime-frontend
Story,App 深链路由统一,"统一支持 lumi://chat/lix/agent-market/avatar/destiny/settings",,EPIC-M1 双入口主链路稳定化,"deeplink,android",High,3,app-backend-host
Story,中文输入默认词库内置,"默认加载 fcitx_gboard_seed.tsv; 首次可用无需下载",,EPIC-M1 双入口主链路稳定化,"ime,cn-lexicon",High,2,ime-frontend
Story,双入口真机 E2E 回归,"微信/短信/浏览器输入框切换 Lumi IME; 自动拉起 App; 回流候选可提交",,EPIC-M1 双入口主链路稳定化,"e2e,android",Highest,5,qa

Epic,EPIC-M1 七Tab功能闭环,"目标: 首页/对话/LIX/Agent/画像/导航/设置均为页面级能力而非入口壳",EPIC-M1 七Tab功能闭环,,"android,ui,compose",Highest,,app-backend-host
Story,首页状态与指标聚合,"首页展示画像摘要、24h任务质量、快捷入口与系统状态",,EPIC-M1 七Tab功能闭环,"home,dashboard",High,5,app-backend-host
Story,对话页任务轨/证据轨/技能轨,"展示 routing reasons、task graph、skills、evidence; 支持细化与管理",,EPIC-M1 七Tab功能闭环,"chat,orchestration",Highest,8,app-backend-host
Story,LIX 意图交易闭环,"发布意图 -> 报价 -> 接受 -> 交付 -> 复核状态可追踪",,EPIC-M1 七Tab功能闭环,"lix,workflow",Highest,8,app-backend-host
Story,Agent 市场执行闭环,"发现 Agent、执行任务、趋势榜、GitHub 导入入口可用",,EPIC-M1 七Tab功能闭环,"agent-market,execution",Highest,8,app-backend-host
Story,画像页三层可读视图,"概览/认知/编辑三层结构; 标签和特征进度可读",,EPIC-M1 七Tab功能闭环,"avatar,ux",High,5,app-backend-host
Story,导航页策略路径可视化,"显示风险级别、下一步策略、路径步骤与证据",,EPIC-M1 七Tab功能闭环,"destiny,planning",High,5,app-backend-host
Story,设置页观测面板完成,"显示 API 状态、功能开关、任务确认率与模块级确认率",,EPIC-M1 七Tab功能闭环,"settings,observability",High,5,app-backend-host

Epic,EPIC-M2 Super Agent 路由与任务图,"目标: 单入口调度 + 三档阈值路由 + 可解释执行",EPIC-M2 Super Agent 路由与任务图,,"core-agent,orchestration",Highest,,core-agent
Story,统一 SuperAgentKernel 单入口,"清理并收敛历史并行编排入口; 所有请求经过同一路径",,EPIC-M2 Super Agent 路由与任务图,"super-agent,architecture",Highest,8,core-agent
